start_lng,start_lat,end_lng,end_lat,trip_count,passenger_count
-73.940545122062048,40.687711323048859,-73.940545122062048,40.687711323048859,120,197
-74.016008479792461,40.704167908350392,-74.001787362996339,40.723054364272706,4836,8233
-73.959056257135728,40.779728795481155,-73.944789931051588,40.798625269179261,3817,6254
-73.987554961409671,40.741943335666591,-74.017481175715986,40.741129871987241,6222,10386
-73.973311263353452,40.76083481518792,-73.987554961409671,40.741943335666591,33790,56022
-73.987554961409671,40.741943335666591,-74.001787362996339,40.723054364272706,20160,33406
-73.959056257135728,40.779728795481155,-73.943372764351153,40.761636821408416,3032,5010
-73.917621236601647,40.873448602965126,-73.917621236601647,40.873448602965126,36,60
-73.973311263353452,40.76083481518792,-73.959056257135728,40.779728795481155,23547,39071
-74.001787362996339,40.723054364272706,-74.001787362996339,40.723054364272706,17333,29102
-73.973311263353452,40.76083481518792,-73.973311263353452,40.76083481518792,45610,75564
-74.001787362996339,40.723054364272706,-73.987554961409671,40.741943335666591,18895,31561
-73.987554961409671,40.741943335666591,-73.973311263353452,40.76083481518792,33861,56065
-73.973311263353452,40.76083481518792,-73.989006393262443,40.778922759532463,10611,17737
-74.000327591295317,40.686100810596081,-74.000327591295317,40.686100810596081,431,693
-73.974752036871536,40.797822957309741,-73.974752036871536,40.797822957309741,4856,8039
-73.959056257135728,40.779728795481155,-73.959056257135728,40.779728795481155,23084,38434
-74.003249435641678,40.760025061971383,-73.973311263353452,40.76083481518792,10224,16867
-73.973311263353452,40.76083481518792,-73.943372764351153,40.761636821408416,4817,7752
-73.943372764351153,40.761636821408416,-73.959056257135728,40.779728795481155,3111,5105
-73.987554961409671,40.741943335666591,-73.987554961409671,40.741943335666591,43689,71639
-73.974752036871536,40.797822957309741,-73.960486354749236,40.816725647931,1650,2759
-74.000327591295317,40.686100810596081,-73.986105814679,40.704981046617362,172,279
-74.003249435641678,40.760025061971383,-74.017481175715986,40.741129871987241,1855,3108
-73.987554961409671,40.741943335666591,-74.003249435641678,40.760025061971383,10870,18013
-74.003249435641678,40.760025061971383,-73.987554961409671,40.741943335666591,8398,14068
-73.959056257135728,40.779728795481155,-73.989006393262443,40.778922759532463,5467,9309
-74.001787362996339,40.723054364272706,-74.017481175715986,40.741129871987241,4073,6800
-74.017481175715986,40.741129871987241,-73.987554961409671,40.741943335666591,5616,9285
-73.989006393262443,40.778922759532463,-73.959056257135728,40.779728795481155,5604,9135
-73.974752036871536,40.797822957309741,-73.989006393262443,40.778922759532463,4521,7472
-73.943372764351153,40.761636821408416,-73.973311263353452,40.76083481518792,3876,6236
-74.001787362996339,40.723054364272706,-74.016008479792461,40.704167908350392,5537,9182
-73.987554961409671,40.741943335666591,-73.971872759094524,40.723863798654364,5949,9966
-73.989006393262443,40.778922759532463,-73.973311263353452,40.76083481518792,9670,15647
-73.971872759094524,40.723863798654364,-73.987554961409671,40.741943335666591,4484,7734
-73.989006393262443,40.778922759532463,-73.989006393262443,40.778922759532463,6812,11330
-73.989006393262443,40.778922759532463,-73.974752036871536,40.797822957309741,5528,9375
-73.973311263353452,40.76083481518792,-74.003249435641678,40.760025061971383,9634,16365
-73.92770154644333,40.743547042741639,-73.91343395497816,40.762431080289005,184,313
-73.959056257135728,40.779728795481155,-73.973311263353452,40.76083481518792,21081,34622
-74.001787362996339,40.723054364272706,-73.971872759094524,40.723863798654364,4621,7716
-73.943372764351153,40.761636821408416,-73.943372764351153,40.761636821408416,941,1410
-73.944789931051588,40.798625269179261,-73.944789931051588,40.798625269179261,2052,3463
-73.970436518739589,40.686909926653662,-73.970436518739589,40.686909926653662,493,759
-73.971872759094524,40.723863798654364,-74.001787362996339,40.723054364272706,2839,4751
-73.960486354749236,40.816725647931,-73.960486354749236,40.816725647931,623,1066
-74.017481175715986,40.741129871987241,-74.001787362996339,40.723054364272706,3886,6666
-74.017481175715986,40.741129871987241,-74.017481175715986,40.741129871987241,1049,1814
-74.003249435641678,40.760025061971383,-74.003249435641678,40.760025061971383,5174,8397
-73.970436518739589,40.686909926653662,-73.954779463165181,40.668841012001913,161,255
-74.016008479792461,40.704167908350392,-73.986105814679,40.704981046617362,545,887
-73.929105801824988,40.780527077413275,-73.929105801824988,40.780527077413275,40,57
-74.003249435641678,40.760025061971383,-73.989006393262443,40.778922759532463,2980,4865
-73.926299502005918,40.706584143867751,-73.926299502005918,40.706584143867751,103,183
-73.957628412877625,40.742749059368172,-73.957628412877625,40.742749059368172,185,270
-74.016008479792461,40.704167908350392,-74.016008479792461,40.704167908350392,2518,4266
-73.960486354749236,40.816725647931,-73.974752036871536,40.797822957309741,745,1192
-73.959056257135728,40.779728795481155,-73.929105801824988,40.780527077413275,339,552
-73.971872759094524,40.723863798654364,-73.973311263353452,40.76083481518792,1870,3028
-74.017481175715986,40.741129871987241,-74.003249435641678,40.760025061971383,2021,3535
-73.971872759094524,40.723863798654364,-73.941957829777223,40.724665499717467,228,370
-73.974752036871536,40.797822957309741,-73.959056257135728,40.779728795481155,3933,6552
-73.944789931051588,40.798625269179261,-73.930512273383158,40.817524228903864,391,623
-73.989006393262443,40.778922759532463,-74.003249435641678,40.760025061971383,2757,4533
-74.016008479792461,40.704167908350392,-73.971872759094524,40.723863798654364,841,1372
-73.943372764351153,40.761636821408416,-73.987554961409671,40.741943335666591,1518,2499
-73.944789931051588,40.798625269179261,-73.959056257135728,40.779728795481155,1480,2481
-74.016008479792461,40.704167908350392,-74.017481175715986,40.741129871987241,880,1483
-73.957628412877625,40.742749059368172,-73.987554961409671,40.741943335666591,333,613
-73.959056257135728,40.779728795481155,-73.974752036871536,40.797822957309741,3974,6596
-74.001787362996339,40.723054364272706,-73.986105814679,40.704981046617362,1335,2252
-73.946209335162834,40.835630824012625,-73.946209335162834,40.835630824012625,180,301
-73.986105814679,40.704981046617362,-74.001787362996339,40.723054364272706,433,694
-74.001787362996339,40.723054364272706,-74.003249435641678,40.760025061971383,3485,5929
-73.973311263353452,40.76083481518792,-74.017481175715986,40.741129871987241,2933,5047
-73.974752036871536,40.797822957309741,-73.944789931051588,40.798625269179261,1661,2738
-73.987554961409671,40.741943335666591,-74.016008479792461,40.704167908350392,4715,7830
-73.943372764351153,40.761636821408416,-73.944789931051588,40.798625269179261,374,604
-73.971872759094524,40.723863798654364,-73.956202816655178,40.705786458573087,375,620
-74.001787362996339,40.723054364272706,-73.973311263353452,40.76083481518792,9356,15909
-73.974752036871536,40.797822957309741,-74.003249435641678,40.760025061971383,750,1249
-73.973311263353452,40.76083481518792,-73.974752036871536,40.797822957309741,3954,6529
-73.957628412877625,40.742749059368172,-73.973311263353452,40.76083481518792,792,1236
-74.017481175715986,40.741129871987241,-73.973311263353452,40.76083481518792,3025,5165
-73.989006393262443,40.778922759532463,-73.987554961409671,40.741943335666591,3273,5488
-73.893645405236356,40.63349921989758,-73.923502025117173,40.632709829054534,1,1
-73.91343395497816,40.762431080289005,-73.929105801824988,40.780527077413275,95,160
-73.974752036871536,40.797822957309741,-73.973311263353452,40.76083481518792,3050,5000
-73.944789931051588,40.798625269179261,-73.989006393262443,40.778922759532463,311,504
-73.973311263353452,40.76083481518792,-74.001787362996339,40.723054364272706,9009,15279
-73.973311263353452,40.76083481518792,-73.92770154644333,40.743547042741639,593,1005
-73.944789931051588,40.798625269179261,-73.974752036871536,40.797822957309741,756,1248
-73.989006393262443,40.778922759532463,-73.946209335162834,40.835630824012625,412,685
-73.986105814679,40.704981046617362,-74.016008479792461,40.704167908350392,189,300
-74.003249435641678,40.760025061971383,-74.001787362996339,40.723054364272706,2866,4866
-73.987554961409671,40.741943335666591,-73.957628412877625,40.742749059368172,1134,1886
-73.974752036871536,40.797822957309741,-73.946209335162834,40.835630824012625,490,836
-73.973311263353452,40.76083481518792,-73.971872759094524,40.723863798654364,2383,3836
-74.000327591295317,40.686100810596081,-74.001787362996339,40.723054364272706,234,371
-73.959056257135728,40.779728795481155,-73.987554961409671,40.741943335666591,6249,10270
-73.882127060116233,40.726245700528295,-73.852211252385018,40.727024199630236,8,10
-73.987554961409671,40.741943335666591,-73.943372764351153,40.761636821408416,1849,3044
-73.987554961409671,40.741943335666591,-73.986105814679,40.704981046617362,1127,1883
-73.944789931051588,40.798625269179261,-73.916223272399563,40.836425667265026,62,95
-74.003249435641678,40.760025061971383,-73.959056257135728,40.779728795481155,1778,2891
-73.986105814679,40.704981046617362,-73.987554961409671,40.741943335666591,251,424
-73.971872759094524,40.723863798654364,-73.959056257135728,40.779728795481155,626,1069
-73.959056257135728,40.779728795481155,-74.003249435641678,40.760025061971383,1554,2592
-74.003249435641678,40.760025061971383,-73.974752036871536,40.797822957309741,1080,1760
-74.017481175715986,40.741129871987241,-74.016008479792461,40.704167908350392,1063,1856
-73.987554961409671,40.741943335666591,-73.989006393262443,40.778922759532463,3995,6530
-73.944789931051588,40.798625269179261,-73.943372764351153,40.761636821408416,130,216
-73.973311263353452,40.76083481518792,-73.944789931051588,40.798625269179261,2138,3482
-73.973311263353452,40.76083481518792,-73.941957829777223,40.724665499717467,330,550
-74.001787362996339,40.723054364272706,-73.959056257135728,40.779728795481155,2463,4152
-73.987554961409671,40.741943335666591,-73.944789931051588,40.798625269179261,1156,1943
-73.789790856494008,40.65466416943098,-73.731297636399717,40.693104920188929,14,20
-73.8977743784313,40.744337285450158,-73.882127060116233,40.726245700528295,33,60
-73.869203999105082,40.782100377892284,-73.987554961409671,40.741943335666591,1338,2392
-73.959056257135728,40.779728795481155,-73.92770154644333,40.743547042741639,151,263
-74.016008479792461,40.704167908350392,-73.987554961409671,40.741943335666591,3459,5909
-74.003249435641678,40.760025061971383,-73.971872759094524,40.723863798654364,555,971
-73.956202816655178,40.705786458573087,-74.001787362996339,40.723054364272706,186,310
