lat,lon,weight,category
37.61250954666046,126.99022350033793,3,cafe
37.63972138009696,127.05141053932049,2,restaurant
37.62756856902452,127.04187792184125,4,restaurant
37.57252071899906,127.05993256742615,1,hotel
37.58001662849112,127.0624553654019,1,restaurant
37.63735534453962,126.99367187966978,3,restaurant
37.55052653045655,127.06218090547806,1,cafe
37.632122841838274,127.01032282656722,2,park
37.6297069428752,127.03790799421388,3,restaurant
37.596793495284366,127.06528963428413,2,hotel
37.58030324268193,127.029535814445,2,restaurant
37.577842561210076,127.0282928761927,1,cafe
37.57548695876541,126.97708558351786,1,cafe
37.59450763058826,127.02966505050591,4,park
37.600454825895795,126.9941115615647,3,hotel
37.60534973520745,127.00882563857553,2,cafe
37.649550028343434,127.00778570338053,1,cafe
37.629266191921374,127.06733526515991,4,restaurant
37.61221792294411,127.03377953284826,1,hotel
37.648896014768184,127.04249652516071,2,park
37.571530869823555,126.98727649380356,2,hotel
37.56602120338578,127.00042846208278,1,hotel
37.6112539604273,127.05774638914238,3,restaurant
37.55439420079613,126.98202401870287,3,park
37.553568027877354,127.06531177196864,1,park
37.601488882027134,127.01274070755574,4,park
37.596620602532525,127.00899470949918,2,park
37.64171677731928,127.02146416670976,1,restaurant
37.6129226254491,127.0143255735247,1,cafe
37.60141176465995,127.01705323142028,4,park
37.59968734353935,127.012398586045,2,restaurant
37.57475149220273,127.04017611232267,3,restaurant
37.55117940255425,126.9976293541746,1,park
37.569240214398526,126.98664936026738,4,cafe
37.61920321208818,127.01345372062953,4,cafe
37.5700606723987,126.97882993666042,4,cafe
37.58695363106022,127.01473767324151,3,cafe
37.550373424205205,127.01943376125043,2,cafe
37.63300477298017,127.04843378451957,2,hotel
37.565446108106144,126.98090451140665,4,hotel
37.576759930456376,127.00968774162095,2,hotel
37.63803321539808,127.04805559825397,1,hotel
37.60097908098684,127.00382553204498,3,hotel
37.634715024636584,127.05362206085431,2,park
37.61397171669425,127.04183918536302,1,hotel
37.62417709473618,126.97417214657261,2,restaurant
37.5591495605063,127.00852785749787,1,cafe
37.604114382137645,127.04663676537996,1,park
37.60077722363003,127.02265395500618,4,restaurant
37.63713393766928,127.03728793005737,2,restaurant
37.58612640590141,127.06900268459414,2,restaurant
37.60981840672072,127.03752550737173,4,restaurant
37.555925164234544,127.02460489814905,3,cafe
37.58876318011107,127.05461160338469,1,hotel
37.582303634625816,127.01302104901045,1,restaurant
37.565019972907045,126.97104151240887,2,restaurant
